Competition,Referee,AR1,AR2
Brisbane Premier League,130.00,65.00,65.00
Brisbane Premier League Reserves,84.00,42.00,42.00
Canale Cup,Missing,Missing,Missing
Capital League 1,120.00,60.00,60.00
Capital League 1 Reserves,80.00,40.00,40.00
Capital League 2,100.00,50.00,50.00
Capital League 2 Reserves,75.00,37.50,37.50
Capital League 3,90.00,45.00,45.00
Capital League 3 Reserves,75.00,37.50,37.50
Mens City League Cup,Missing,Missing,Missing
City League 1,85.00,42.50,42.50
City League 2,85.00,42.50,42.50
City League 3 Blue,75.00,37.50,37.50
City League 3 Silver,75.00,37.50,37.50
City League 4 Blue,75.00,37.50,37.50
City League 4 Gold,75.00,37.50,37.50
City League 4 Silver,75.00,37.50,37.50
City League 5 Blue,75.00,37.50,37.50
City League 5 Blue,75.00,37.50,37.50
City League 5 Gold,75.00,37.50,37.50
City League 5 Silver,75.00,37.50,37.50
City League 6 Blue,75.00,37.50,37.50
City League 6 Gold,75.00,37.50,37.50
City League 6 Silver,75.00,37.50,37.50
City League 7 Blue,75.00,37.50,37.50
City League 7 Gold,75.00,37.50,37.50
City League 7 Silver,75.00,37.50,37.50
City League 8,75.00,37.50,37.50
U20,75.00,37.50,37.50
U18 Division 1 Blue,75.00,37.50,37.50
U18 Division 1 Silver,75.00,37.50,37.50
U18 Division 2,75.00,37.50,37.50
U18 Division 3,75.00,37.50,37.50
U18 Division 4,75.00,37.50,37.50
Brisbane Womens Premier League,110.00,55.00,55.00
Brisbane Womens Premier League Reserves,68.00,34.00,34.00
Elaine Watson Cup,100.00,50.00,50.00
Womens Capital League 1,95.00,47.50,47.50
Womens Capital League 1 Reserves,64.00,32.00,32.00
Womens City League Cup,Missing,Missing,Missing
Womens City League 1,70.00,35.00,35.00
Womens City League 2,70.00,35.00,35.00
Womens City League 3 Blue,64.00,32.00,32.00
Womens City League 3 Silver,64.00,32.00,32.00
Womens City League 4 Blue,64.00,32.00,32.00
Womens City League 4 Gold,64.00,32.00,32.00
Womens City League 4 Silver,64.00,32.00,32.00
Womens City League 5 Blue,64.00,32.00,32.00
Womens City League 5 Gold,64.00,32.00,32.00
Womens City League 5 Silver,64.00,32.00,32.00
Womens Legends,56.00,28.00,28.00
U16 Brisbane Youth Premier League,64.00,32.00,32.00
U15 Brisbane Youth Premier League,56.00,28.00,28.00
U14 Brisbane Youth Premier League,48.00,24.00,24.00
U13 Brisbane Youth Premier League,40.00,20.00,20.00
U13 Brisbane Youth Premier League North,40.00,20.00,20.00
U13 Brisbane Youth Premier League South,40.00,20.00,20.00
U12 Brisbane Youth Premier League,32.00,16.00,16.00
U12 Brisbane Youth Premier League North,32.00,16.00,16.00
U12 Brisbane Youth Premier League South,32.00,16.00,16.00
U16 Division 1,58.00,29.00,29.00
U16 Division 1 Girls,58.00,29.00,29.00
U16 Division 2,58.00,29.00,29.00
U16 Division 2 Girls,58.00,29.00,29.00
U16 Division 3,58.00,29.00,29.00
U16 Division 4,58.00,29.00,29.00
U16 Division 5,58.00,29.00,29.00
U15 Division 1,50.00,25.00,25.00
U15 Division 1 Girls,50.00,25.00,25.00
U15 Division 2,50.00,25.00,25.00
U15 Division 2 Girls,50.00,25.00,25.00
U15 Division 2 North,50.00,25.00,25.00
U15 Division 3,50.00,25.00,25.00
U15 Division 3 Girls,50.00,25.00,25.00
U15 Division 3 North,50.00,25.00,25.00
U15 Division 3 South,50.00,25.00,25.00
U15 Division 4,50.00,25.00,25.00
U15 Division 4 North,50.00,25.00,25.00
U15 Division 4 North Blue,50.00,25.00,25.00
U15 Division 4 North Maroon,50.00,25.00,25.00
U15 Division 4 South,50.00,25.00,25.00
U15 Division 5,50.00,25.00,25.00
U15 Division 6,50.00,25.00,25.00
U14 Division 1 Girls,42.00,21.00,21.00
U14 Division 1 North,42.00,21.00,21.00
U14 Division 1 South,42.00,21.00,21.00
U14 Division 2,42.00,21.00,21.00
U14 Division 2 Girls,42.00,21.00,21.00
U14 Division 2 North,42.00,21.00,21.00
U14 Division 2 South,42.00,21.00,21.00
U14 Division 3,42.00,21.00,21.00
U14 Division 3 North,42.00,21.00,21.00
U14 Division 3 South,42.00,21.00,21.00
U14 Division 4 North,42.00,21.00,21.00
U14 Division 4 South,42.00,21.00,21.00
U14 Division 5 North,42.00,21.00,21.00
U14 Division 5 South,42.00,21.00,21.00
U13 Division 1 Girls,34.00,17.00,17.00
U13 Division 1 North,34.00,17.00,17.00
U13 Division 1 South,34.00,17.00,17.00
U13 Division 2 Girls,34.00,17.00,17.00
U13 Division 2 North,34.00,17.00,17.00
U13 Division 2 South,34.00,17.00,17.00
U13 Division 3 Girls,34.00,17.00,17.00
U13 Division 3 North,34.00,17.00,17.00
U13 Division 3 South,34.00,17.00,17.00
U13 Division 4 North,34.00,17.00,17.00
U13 Division 4 South,34.00,17.00,17.00
U13 Division 5,34.00,17.00,17.00
U13 Division 5 North,34.00,17.00,17.00
U13 Division 5 South,34.00,17.00,17.00
U12 Division 1,28.00,14.00,14.00
U12 Division 1 Girls,28.00,14.00,14.00
U12 Division 1 North,28.00,14.00,14.00
U12 Division 1 South,28.00,14.00,14.00
U12 Division 2 Girls,28.00,14.00,14.00
U12 Division 2 North,28.00,14.00,14.00
U12 Division 2 South,28.00,14.00,14.00
U12 Division 3 Girls,28.00,14.00,14.00
U12 Division 3 North,28.00,14.00,14.00
U12 Division 3 South,28.00,14.00,14.00
U12 Division 4 Girls,28.00,14.00,14.00
U12 Division 4 North,28.00,14.00,14.00
U12 Division 4 South,28.00,14.00,14.00
U12 Division 5 North,28.00,14.00,14.00
U12 Division 5 South,28.00,14.00,14.00
U12 Division 6 North,28.00,14.00,14.00
U12 Division 6 South,28.00,14.00,14.00
U12 Division 7 North,28.00,14.00,14.00
U12 Division 7 South,28.00,14.00,14.00
U12 Division 8 North,28.00,14.00,14.00
U12 Division 9 North,28.00,14.00,14.00
U12 Division 10 North,28.00,14.00,14.00